LIRE_unfiltered dataset,attribute_name,dataset_source,source,created_by_script,data_type,description
52,external_image_uris,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,"list, hyperlink",Unique URI for each external photo record.
53,fotos,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb,"list, hyperlink",Unique URI for each EDH photo record.
54,idno_tm,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,One to 6 digit ID number of Trismegistos reference number
55,placenames_refs,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,"list, hyperlink",Unique URI for each Trismegistos Placename record connected with the currect inscription.
56,text_edition,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,Text of an inscription as preserved in Epidoc XML file
57,origdate_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"XML tag, writing  / engraving technique."
58,layout_execution,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,Description of the writing technique.
59,layout_execution_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"Text of an XML tag, writing technique, in German."
60,support_objecttype,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,"XML tag, using standardized Eagle vocabulary for type of inscribed object"
61,support_objecttype_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"Text of an XML tag, typology of inscribed object, in German."
62,support_material,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,"XML tag, using standardized Eagle vocabulary for type of material"
63,support_material_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"Text of an XML tag, typology of inscribed material, in German."
64,support_decoration,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,"XML tag, Epigraphic monuments with any kind of decoration. Also categorised as decoration are: hederae (indicating word break or simply as decoration), signs of the cross
More elaborate (e.g. representational) decoration is described more extensively in the field ""Commentary""."
65,keywords_term,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,numeric,"XML tag, using standardized Eagle vocabulary for type of an inscription"
66,keywords_term_text,EDH,https://edh-www.adw.uni-heidelberg.de/data/export,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"Text of an XML tag, typology of inscription, in German."
67,type_of_inscription_clean,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Cleaned type of inscription, without additional symbols, such as ?"
68,type_of_inscription_certainty,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Certainty measure for type of inscription, extracted from ? present in the original attribute"
69,height_cm,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,numeric,"Cleaned maximum height in cm, saved as numeric without units"
