Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
cucullarius,i,,Petrikovits 1981a,Clothing,,cap / mantel maker
culcitarius,i,,Petrikovits 1981a,Household Goods,,a cushion-maker
culinarius,i,culinarius,Waltzing - provinces,Food-Production,,"pertaining to the kitchen, culinary, kitchen worker"
cullearius,i,,Petrikovits 1981a,Household Goods,,"maker of a leather bag, sack for liquids"
cultellarius,i,,Petrikovits 1981a,Metal-Working,,maker of a small knife
cultrarius,i,,Petrikovits 1981a,Metal-Working,,"knife maker, cutler"
cunarius,i,,Petrikovits 1981a,Miscellaneous Services,,"nanny, babysitter"
cunaria,ae,,Petrikovits 1981a,Miscellaneous Services,,"nanny, babysitter"
cunicularius,i,,Petrikovits 1981a,Building,,tunnel builder
cuniculator,oris,,Petrikovits 1981a,Building,,tunnel builder
cuparius,i,cuparius,Waltzing - provinces,Metal-Working,,a cooper
cuppedinarius,i,,Petrikovits 1981a,Food-Production,,"a maker of dainties, confectioner"
curator,oris,curator,Waltzing,Managerial,,"he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate"
curator navium,oris,curator,Waltzing - Rome,Managerial,,ship manager
custodiarius,i,custodiarius,Waltzing - Rome,Miscellaneous Services,,a jailer
dactilidiogliphus,i,,Petrikovits 1981a,Plastic Arts,,a gem cutter
dealbator,oris,,Petrikovits 1981a,Building,,"who whitens over, a whitewasher, a pargeter, plasterer"
deaurator,oris,,Petrikovits 1981a,Metal-Working,,a gilder
decanus,i,decanus,Waltzing - Rome,Managerial,,"A chief of ten, one set over ten persons"
decempedator,oris,,Petrikovits 1981a,Miscellaneous Services,,"a land-measurer, land-surveyor"
dendrophorus,i,dendrophorus,Waltzing - Rome,Building,Wood worker,a carpenter
diabathrarius,i,,Petrikovits 1981a,Clothing,Shoe maker,light-shoe maker
diatretarius,i,,Petrikovits 1981a,Plastic Arts,,"one who does perforated or filigree work, a turner, carver"
diffusitrix,icis,,Petrikovits 1981a,Food-Retail,,female maker and trader of oil
diffusor,oris,diffusor,Waltzing - provinces,Food-Retail,,trader of oil
diffusor oleari,oris,diffusor,Waltzing - Rome,Food-Retail,,oil trader
dissignator,oris,dissignator,Waltzing - provinces,Managerial,,"an undertaker, manager"
dogarius,i,,Petrikovits 1981a,Household Goods,,special vessel maker
dolabrarius,i,dolabrarius,Waltzing - provinces,Metal-Working,,a pickaxe-maker
dolator,oris,,Petrikovits 1981a,Building,,worker with an axe
dolearius,i,,Petrikovits 1981a,Household Goods,,producer and seller of large vessels
doliarius,i,,Petrikovits 1981b,Household Goods,,maker of barrels made of wood or clay
dominus navium,i,dominus,Waltzing - Rome,Transport,Maritime/water transport,shipmaster
domnicomontanus,i,,Petrikovits 1981a,Unclear meaning,,uncertain
dulciarius,i,,Petrikovits 1981a,Food-Production,,"Confectioner, baker"
eborarius,i,eborarius,Waltzing - Rome,Miscellaneous Services,,a worker in ivory
eburarius,i,,Petrikovits 1981a,Miscellaneous Services,,a worker in ivory
embaenitarius,i,,Petrikovits 1981a,Unclear meaning,,uncertain
emplastrator,oris,,Petrikovits 1981a,Building,,"a plasterer, uncertain"
emporus,i,emporus,Waltzing - provinces,Retail,,a trader
ephippiarius,i,,Petrikovits 1981a,Transport,Land transport,saddler
epippiarius,i,,Petrikovits 1981a,Transport,Land transport,saddler
erarius,i,,Petrikovits 1981a,Metal-Working,,coppersmith
essedarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,a fighter in a war-chariot
