,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures
220,Hanson2016_221,Zama Regia,Seba Biar,Africa Proconsularis,Tunisia,3,32 D4,-200,,9.285786,36.111664000000005,BNP; Boatwright 2000; DGRG; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Salmon 1969.,,,"['Colonia', 'Rights and privileges']","['Aqueduct', ""Temple ('capitolium')"", 'Walls']",3
221,Hanson2016_222,Zitha,Unknown,Africa Proconsularis,Tunisia,3,35 D1,100,,11.112906,33.503896000000005,DGRG; Quinn and Wilson 2013.,,,['Municipium'],"['Bridge', ""Temple ('capitolium')""]",2
222,Hanson2016_223,Augusta Taurinorum,Turin,Alpes Cottiae,Italy,3,39 B3,-27,,7.686619,45.070562,Beloch 1880; Beloch 1886; BNP; Cornell and Mathews 1982; de Ligt 2012; McEvedy 2011; PECS; Salmon 1969; Sear 2006; Woloch 1983.,54.0,Urban grid and walls,"['Civitas capital', 'Colonia']","['Forum?', 'Odeum', 'Theatre?', 'Urban grid', 'Walls']",5
223,Hanson2016_224,Segusio,Susa,Alpes Cottiae,Italy,4 or 5,17 I3,-100,,7.048414,45.138484999999996,Beloch 1880; de Ligt 2012; DGRG; Golvin 1988; PECS; Woloch 1983.,7.0,Walls,"['Municipium', 'Provincial capital']","['Amphitheatre', 'Arch', 'Baths', 'Forum', 'Unidentified public building', 'Unidentified public building', 'Walls']",7
224,Hanson2016_225,Augusta Praetoria,Aosta,Alpes Graiae et Poeninae,Italy,3,39 A2,-25,,7.313234,45.735,Beloch 1880; Beloch 1886; BNP; Cornell and Mathews 1982; de Ligt 2012; Golvin 1988; MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Woloch 1983.,41.0,Urban grid and walls,"['Civitas capital', 'Colonia', 'Provincial capital', 'Rights and privileges']","['Amphitheatre', 'Arch of Augustus', 'Baths', 'Bridge', 'Forum', 'Odeum', 'Temple', ""Temple ('capitolium')"", 'Urban grid', 'Walls']",10
225,Hanson2016_226,Forum Claudii,Martigny,Alpes Graiae et Poeninae,Switzerland,4 or 5,17 I1,-15,,7.073483,46.101706,BNP; DGRG; PECS; Woloch 1983.,22.0,Urban grid,"['Civitas capital', 'Provincial capital', 'Rights and privileges']","['Amphitheatre', 'Basilica', 'Baths', 'Baths', 'Forum', 'Mithraeum', 'Nymphaeum', 'Sanctuary', 'Temple', 'Temple', 'Temple', 'Urban grid']",12
226,Hanson2016_227,Cemelenum,Cimiez,Alpes Maritimae,France,3,16 D2,-25,,7.275398,43.720661,Bedon 2001; Bedon et al 1988; Beloch 1880; de Ligt 2012; Golvin 1988; PEC; Woloch 1983.,18.0,"Inhabited area, 15 to 20 ha.","['Provincial capital', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Aqueduct', 'Baths', 'Baths', 'Baths', 'Baths', 'Circus?', 'Nymphaeum', 'Unidentified public building', 'Unidentified public building', 'Unidentified public building', 'Walls']",13
227,Hanson2016_228,Pedona,Borgo S. Dalmazzo,Alpes Maritimae,Italy,4 or 5,39 A5,-146,,7.468616,44.335303,Bispham 2007; de Ligt 2012.,22.0,Urban grid,['Municipium'],"['Forum?', 'Urban grid']",2
228,Hanson2016_229,Abila,Quwaylibah,Arabia,Jordan,3,69 C4,-323,,35.869098,32.680677,BNP; Cohen 2006; DGRG; Jones 1937; PECS; Sear 2006.,75.0,"Inhabited area, 1,500 by 500 m","['City of the Syrian Decapolis', 'Metropolis capital', 'Rights and privileges']","['Acropolis', 'Aqueduct', 'Aqueduct', 'Basilica', 'Baths', 'Bridge', 'Nymphaeum', 'Odeum', 'Temple', 'Theatre', 'Urban grid', 'Walls']",12
229,Hanson2016_230,Adraha,Daraa,Arabia,Syria,3,69 D4,-323,,36.10799,32.618790999999995,Jones 1937; Sear 2006.,,,,['Theatre'],1
230,Hanson2016_231,Bostra,Bosra,Arabia,Syria,2,69 D4,106,,36.482118,32.518318,Humphrey 1986; Jones 1937; McEvedy 2011; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.,61.0,Urban grid and walls,"['Colonia', 'Colonia?', 'Metropolis capital', 'Provincial capital']","['Agora?', 'Amphitheatre', 'Arch', 'Arch', 'Basilica', 'Baths', 'Baths', 'Baths', 'Colonnaded streets', 'Fort', 'Hippodrome', 'Macellum', 'Nymphaeum', 'Theatre', 'Unidentified public building', ""Unidentified public building ('Trajan's palace')"", 'Urban grid', 'Walls']",18
231,Hanson2016_232,Canatha,Qanawat,Arabia,Syria,3,69 E4,-323,,36.603111,32.742615,BNP; DGRG; Jones 1937; PECS; Sear 2006.,,,['City of the Syrian Decapolis'],"['Agora?', 'Arch', 'Basilica?', 'Baths', 'Nymphaeum', 'Temple', 'Temple (Es-Serai)', 'Temple of Helios?', 'Theatre', 'Unidentified public building', 'Walls']",11
232,Hanson2016_233,Capitolias,Beit Ras,Arabia,Jordan,4 or 5,69 C4,-323,,35.858292999999996,32.598602,BNP; Cohen 2006; DGRG; Jones 1937; PECS.,125.0,Inhabited area,"['City of the Syrian Decapolis', 'Rights and privileges']","['Agora', 'Colonnaded streets', 'Urban grid', 'Walls']",4
233,Hanson2016_234,Dionysias,As Suwayda,Arabia,Syria,3,69 E4,-323,,36.565286,32.707083000000004,Cohen 2006; PECS.,,,,"['Agora', 'Aqueduct', 'Arch', 'Basilica', 'Bridge', 'Nymphaeum?', 'Temple of Dionysus Dushara', 'Theatre']",8
